# source: MetaTFT · 2026-09-26 (최신 패치 · 최근 3일 · 플래티넘 이상)
S | 달빛 아펠리오스 | 바루스, 다이애나, 감시자, 니달리, 아펠리오스, 바이, 코그모, 아무무 | 빠른 8레벨 · 평균 4.13 · 선택률 0.56 · 승률 9.2% · 순방 59.3%
B | 나무정령 이즈리얼 | 헤카림, 오른, 르블랑, 알리스타, 자야, 이즈리얼 | 빠른 9레벨 · 평균 4.70 · 선택률 0.16 · 승률 11.9% · 순방 45.3%
B | 나무정령 렝가 | 렝가, 카직스, 다이애나, 헤카림, 르블랑, 아펠리오스, 이즈리얼 | 7레벨 리롤 · 3성 렝가·카직스·헤카림 · 평균 4.75 · 선택률 0.09 · 승률 9.5% · 순방 45.2%
C | 선봉대 렝가 | 렝가, 감시자, 다이애나, 헤카림, 어미 부리, 아펠리오스, 덩굴정령 | 7레벨 리롤 · 3성 렝가·어미 부리 · 평균 4.76 · 선택률 0.01 · 승률 11.5% · 순방 45.6%
C | 검은 가시 베이가 | 렉사이, 어스름 늑대, 아지르, 덩굴정령, 말파이트, 엘리스 | 빠른 8레벨 · 평균 4.78 · 선택률 0.03 · 승률 8.6% · 순방 44.9%
C | 지옥불 아칼리 | 오른, 아칼리, 카밀, 레오나, 바루스, 세주아니, 케일 | 7레벨 리롤 · 3성 오른·아칼리·카밀·레오나·바루스 · 평균 4.82 · 선택률 0.08 · 승률 6.9% · 순방 45.2%
C | 날렵이 티모 | 베이가, 티모, 코부코, 트리스타나, 람머스, 나르, 어미 부리, 심술두꺼비 | 빠른 8레벨 · 3성 티모 · 평균 4.84 · 선택률 0.03 · 승률 4.5% · 순방 43.5%
C | 개화 아리 | 요릭, 나르, 카르마, 아리, 세트, 애쉬 | 빠른 9레벨 · 평균 4.88 · 선택률 0.12 · 승률 10.5% · 순방 41.7%
C | 지옥불 아무무 | 아이번, 마오카이, 드레이븐, 아무무, 타릭, 케넨 | 빠른 9레벨 · 평균 4.90 · 선택률 0.10 · 승률 12.5% · 순방 41.3%
C | 검은 가시 카직스 | 베이가, 렉사이, 워윅, 말파이트, 아지르, 카직스, 소라카 | 빠른 8레벨 · 3성 카직스 · 평균 4.92 · 선택률 0.04 · 승률 8.6% · 순방 42.3%
C | 요정 트리스타나 | 라칸, 트리스타나, 바이, 릴리아, 시비르, 아무무 | 빠른 8레벨 · 평균 4.93 · 선택률 0.04 · 승률 8.5% · 순방 41.2%
C | 나무정령 케일 | 레오나, 케일, 자야, 오른, 르블랑, 라칸, 세주아니 | 7레벨 리롤 · 3성 레오나·케일·자야·오른·르블랑·라칸·세주아니 · 평균 4.97 · 선택률 0.16 · 승률 9.2% · 순방 41.9%
C | 지옥불 케일 | 레오나, 쉔, 케일, 바루스, 아칼리, 세주아니 | 7레벨 리롤 · 3성 레오나·쉔·케일·바루스·아칼리·세주아니 · 평균 5.00 · 선택률 0.05 · 승률 6.7% · 순방 41.1%
C | 개화 유나라 | 요릭, 유나라, 세주아니, 카르마, 케일, 레오나, 르블랑 | 7레벨 리롤 · 3성 요릭·유나라·세주아니·카르마·레오나·르블랑 · 평균 5.01 · 선택률 0.06 · 승률 9.4% · 순방 41.6%
C | 검은 가시 말파이트 | 요릭, 아지르, 소라카, 자이라, 아무무, 말파이트, 케넨 | 빠른 8레벨 · 평균 5.10 · 선택률 0.04 · 승률 8.0% · 순방 38.7%
C | 악의 여단 모르가나 | 엘리스, 다이애나, 모르가나, 감시자, 알룬, 카시오페아, 타릭 | 빠른 8레벨 · 평균 5.12 · 선택률 0.28 · 승률 12.0% · 순방 37.1%
C | 처형자 카직스 | 카직스, 피들스틱, 다이애나, 오른, 소라카, 아지르 | 빠른 9레벨 · 평균 5.25 · 선택률 0.02 · 승률 7.5% · 순방 36.6%
C | 협곡야수 티모 | 조약돌, 바위 게, 심술두꺼비, 티모, 세주아니, 레오나, 코그모 | 7레벨 리롤 · 3성 바위 게·심술두꺼비·티모·세주아니 · 평균 5.42 · 선택률 0.04 · 승률 2.5% · 순방 33.2%
